delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
DELO V LOGISTIKI,435925,ŠENTJUR,7.06,8.2,"Potrebujejo osebo za deklariranje, delo v logistiki. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
INŠTALACIJE,435924,ŠTAJERSKA REGIJA,8.0,9.3,Iščejo polnoletni osebi za inštalacijska dela: vezava ogrevalnih sistemov. Izkušnje niso potrebne. Zaželen je izpit B kategorije. ,2,PO DOGOVORU,DOPOLDAN,26. 8. 2024
FINANČNE STORITVE,435923,LJUBLJANA,9.0,10.46,"Za naročnika iščejo dinamične in samoiniciativne osebe, ki jih zanima delo v prodaji/direktnem marketingu (kripto valute). Če imate strast do prodaje, odlične komunikacijske veščine in sposobnost graditi močne odnose s strankami vas vabijo, da se pridružite top ekipi. Ponujajo vam priložnost za pridobivanje dragocenih izkušenj s strokovnjaki iz stroke, možnost osebnega in kariernega razvoja v stimulativnem delovnem okolju in možnost nadaljnje zaposlitve. Če vas delo zanima, jim pošljite prijavo. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,28. 8. 2024
ADMINISTRATIVNA DELA,435922,LJUBLJANA,7.31,8.5,"Iščejo študenta/ko za študentsko delo na oddelku QA Export Markets v znanem farmacevtskem podjetju. Tvoje delo bo obsegalo administrativna opravila in podporo pri zagotavljanju kakovosti izdelkov za izvozne trge. Želijo si dolgotrajnega, občasnega sodelovanja s kandidatom naravoslovnih smeri študija. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
KONTROLA KAKOVOSTI,435921,ŠKOFJA LOKA,6.45,7.5,"Iščejo študenta/ko oz. absolventa/ko za pomoč v laboratoriju kontrole kakovosti. Delo zajema pripravo vzorcev za različna testiranja, izvajanje testiranj mehansko fizikalnih lastnosti izdelkov ter opravljanje granulacijskih analiz surovin. Potrebujejo nekoga nekajkrat tedensko, po potrebi in dogovoru s podjetjem. Poleg urne postavke nudijo še plačan prevoz in malico na lokaciji. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
PROJEKTNO DELO,435919,ŠKOFLJICA,8.5,9.88,"Si študent/ka elektrotehnike in te zanimajo praktični izzivi? Iščeš priložnost, kjer bi lahko svoje znanje preizkusil/a v realnem okolju? Imajo priložnost, ki združuje učenje, ustvarjanje in zabavo! Tvoja vloga: raziskovanje in eksperimentiranje, razvoj programske opreme, inženiring elektronike, dokumentiranje. Ponujajo delo na projektih, kjer je ustvarjalnost v ospredju, priložnost za sodelovanje pri razvoju popolnoma novega produkta. Izkoristi svoje znanje v realnem svetu in pridobi izkušnje. ",1,PO DOGOVORU,DOPOLDAN,1. 9. 2024
PRODAJA VSTOPNIC,435918,LJUBLJANA,8.0,9.3,"Podjetje išče polnoletni osebi za prodajo kart (delo s turisti) za vožnjo po Ljubljanici. Urnik je po dogovoru in potrebi. Pogoj je znanje angleškega in slovenskega jezika. Zaželeno pa je tudi znanje še kakšnega tujega jezika (italijanščina, nemščina). Iščejo komunikativne osebe, ki so navajene na delo z ljudmi. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
INŠTRUKCIJE,435917,LJUBLJANA,9.6,11.16,"Iščejo osebo za inštrukcije angleščine, za osnovne in srednje šole, lahko tudi fakultete. Zelo prilagodljiv delovni čas, po potrebi in dogovoru. Oseba mora biti zanesljiva, odgovorna, komunikativna. Nujno je odlično poznavanje poučevanega predmeta in veselje do dela z otroki. Urna postavka je podana za šolsko uro, torej 45 min. Nudijo možnost osebnostnega in profesionalnega razvoja, nabiranje izkušenj. Pošljite prijavo z življenjepisom. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
OBDELAVA IN ODPREMA SPLETNIH NAROČIL,435916,LJUBLJANA,7.0,8.13,"Vabijo študenta/ko, da se pridruži že obstoječemu prodajnemu timu, za pomoč pri prodaji modnih dodatkov. Delo poleg prodaje obsega tudi pripravo blaga za veleprodajne stranke ter pripravo in odpremo spletnih naročil. Pogoji: znanje angleščine, komunikativnost, organiziranost, zanesljivost, natančnost, urejenost, občutek za estetiko in prodajo. Delovni čas je razdeljen na dve izmeni in sicer med 11. in 15. uro, ter med 15. in 19. uro, po potrebi in dogovoru.     ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
STREŽBA,435915,MARIBOR,7.0,8.13,"Potrebujejo pomoč v gostinskem lokalu, ki je v sklopu otroške igralnice. Iščejo komunikativno, energično osebo, ki jo veseli delo v gostinstvu in želi delati v sproščenem, živahnem okolju. Njihove stranke so predvsem mlade družine. Izkušnje so zaželene, vendar niso pogoj, saj te z veseljem naučijo kaj novega. Pomembne so delovne navade in veselje do dela.  Ob vikendih se dela med 10. in 19. uro ter občasno med tednom med 16. in 20. uro, po potrebi in dogovoru. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2. 9. 2024
POLNJENJE POLIC,435914,OPLOTNICA,8.61,10.0,Potrebujejo polnoletno osebo za delo na blagajni ter pomoč pri polnjenju polic. Zaželene so izkušnje. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMIVALEC,435913,PERNICA,7.0,8.13,Podjetje potrebuje spretno osebo za pomivanje posode in pomoč v kuhinji. Delo poteka v popoldanskem času. Dela se za vikende in občasno med tednom. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,16. 9. 2024
DELO NA RECEPCIJI,435912,PERNICA,7.0,8.13,"Podjetje potrebuje nasmejano osebo za delo na hotelski recepciji. Delo poteka v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Zajema sprejem gostov, opravila glede čistoče in reda v recepciji in hotelu ter pripravo in postrežbo zajtrkov. Zaželeno je znanje angleškega in nemškega jezika, komunikativnost in veselje do dela z ljudmi. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2024
DELO V PROIZVODNJI,435911,CELJE,7.49,8.71,Iščejo osebo za samostojno delo v proizvodnji sveč. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
STREŽBA,435910,RADOVLJICA,7.0,8.13,"Strežba pri mizi, priprava pijač, delo z blagajno, polnjenje hladilnikov, sortiranje embalaže, skrb za čistočo in red, . . . vse kar sodi zraven. Začetek dela je september, dobrodošli tudi prej, da se do tačas že naučite. Iščejo za parkrat na teden, po potrebi in dogovoru, sobote so delovne, nedelje in praznike imajo zaprto. Osnovno računalniško znanje, jezik je dovolj angleški, izobrazba ni pomembna, starost ni pomembna. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
IZDAJA BLAGA,435909,LJUBLJANA,6.88,8.0,"Če iščeš dinamično delovno izkušnjo, potem si na pravem mestu. V ekipi trgovine z otroškimi pripomočki, opremo in igračami potrebujejo študenta/ko za pomoč v skladišču. Delo bo obsegalo predvsem pomoč pri prevzemu in izdaji blaga, delo s skenerjem, skrb za čistočo in urejenost skladišča. Če si pripravljen/a na razgibano delo potem se hitro prijavi - pošlji prijavo s pripisom ˝Prijava na študentsko delo v skladišču˝ ali pokliči. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,30. 8. 2024
POUČEVANJE,435908,LJUBLJANA,13.3,15.46,"Glasbena šola potrebuje osebi za individualno poučevanje kitare ali flavte ali klavirja, 1x na teden popoldan oz. po potrebi in dogovoru. Zahtevana je ustrezna izobrazba ter veselje do dela z otroki. Prijavo in CV pošlji na e-mail, za dodatne informacije jih lahko pokličeš. Urna postavka je na 60 minut. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
SESTAVLJANJE,435907,KRANJ,6.2,7.21,"Slovensko podjetje iz področja avtomatizacije procesov, komunikacijskih in varnostnih sistemov za distribucijo električne energije, išče zanesljive osebe za delo v proizvodnji. Delo zajema sestavljanje raznih delov in ostala proizvodna dela. Pričetek dela je takoj. ",10,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
DELO Z OTROKI,435906,MARIBOR,12.0,13.95,"Iščejo zanesljive študente/ke (pedagoške smeri študija) za vodenje otroških športnih vadb. Od študentov/k se pričakuje športno znanje in občutek za delo z otroki.  Potreben je lasten prevoz na delo (povrnjeni so stroški prevoza). Za dobro opravljanje dela se nudi dodatna stimulacija. Vadbe potekajo med 15. in 19. uro, po dogovoru in potrebi. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,30. 9. 2024
DELO V DROGERIJI,435905,KRANJ,6.88,8.0,"Prodaja v drogeriji: delo na blagajni, polnjenje polic, svetovanje. Dela se po potrebi in dogovoru, tudi ob sobotah, nedelje so proste. Zaželeno je, da oseba prihaja iz Kranja. Pošlji prijavo s kontaktnimi podatki na e-mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
KLICNI CENTER,435904,VELENJE,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435903,SLOVENJ GRADEC,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
ADMINISTRATIVNA DELA,435902,LJUBLJANA,6.88,8.0,Iščejo polnoletno osebo za administrativna dela - pomoč pri skeniranju pogodb. ,2,PO DOGOVORU,DOPOLDAN,26. 8. 2024
KLICNI CENTER,435901,SEVNICA,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435900,NOVO MESTO,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
KLICNI CENTER,435899,NOVA GORICA Z OKOLICO,7.44,8.65,"Iščejo študenta/ko za delo v klicnem centru ter administrativna dela geodetske narave, svetovanje in pomoč strankam. Pred pričetkom dela poteka usposabljanje, izobrazba ni pomembna. Pričakujejo: natančnost, odgovornost, komunikativnost, zanesljivost ter osnovno poznavanje MS Office. E-prijavi priloži CV. ",1,DO 15. 11. 2024,DOPOLDAN,23. 9. 2024
